"Vannlokalitet_kode","Parameter_id","Parameter_navn","Tid_provetak","Tid_provetak2","Verdi","Enhet","Tid_provetakx","Date","month","year","day"
"079-58883","Ca","Kalsium","20.02.2017 00:00",NA,0.63,"mg/l","20.02.2017"," 20.02.2017","02","2017","20"
"079-58883","Ca","Kalsium","13.03.2017 00:00",NA,0.63,"mg/l","13.03.2017"," 13.03.2017","03","2017","13"
"079-58883","Ca","Kalsium","02.09.2019 00:00",NA,0.63,"mg/l","02.09.2019"," 02.09.2019","09","2019","02"
"079-58883","SO4","Sulfat","05.07.2021 00:00",NA,0.63,"mg/l","05.07.2021"," 05.07.2021","07","2021","05"
"079-58883","Ca",NA,NA,"29.11.2022",0.63,"mg/L",NA,"29.11.2022 ","11","2022","29"
"079-58883","Ca","Kalsium","19.01.2009 00:00",NA,0.64,"mg/l","19.01.2009"," 19.01.2009","01","2009","19"
"079-58883","Ca","Kalsium","12.02.2018 00:00",NA,0.64,"mg/l","12.02.2018"," 12.02.2018","02","2018","12"
"079-58883","Ca","Kalsium","11.03.2019 00:00",NA,0.64,"mg/l","11.03.2019"," 11.03.2019","03","2019","11"
"079-58883","Ca","Kalsium","12.08.2019 00:00",NA,0.64,"mg/l","12.08.2019"," 12.08.2019","08","2019","12"
"079-58883","SO4","Sulfat","05.02.2022 00:00",NA,0.64,"mg/l","05.02.2022"," 05.02.2022","02","2022","05"
"079-58883","TOC","Totalt organisk karbon (TOC)","30.05.2021 00:00",NA,0.64,"mg/l C","30.05.2021"," 30.05.2021","05","2021","30"
"079-58883","Ca","Kalsium","16.03.2009 00:00",NA,0.65,"mg/l","16.03.2009"," 16.03.2009","03","2009","16"
"079-58883","Ca","Kalsium","15.04.2019 00:00",NA,0.65,"mg/l","15.04.2019"," 15.04.2019","04","2019","15"
"079-58883","Ca","Kalsium","05.03.2012 00:00",NA,0.65,"mg/l","05.03.2012"," 05.03.2012","03","2012","05"
"079-58883","Ca","Kalsium","08.06.2015 00:00",NA,0.65,"mg/l","08.06.2015"," 08.06.2015","06","2015","08"
"079-58883","Ca","Kalsium","04.10.2011 00:00",NA,0.66,"mg/l","04.10.2011"," 04.10.2011","10","2011","04"
"079-58883","Ca","Kalsium","07.11.2016 00:00",NA,0.66,"mg/l","07.11.2016"," 07.11.2016","11","2016","07"
"079-58883","Ca","Kalsium","17.05.2010 00:00",NA,0.66,"mg/l","17.05.2010"," 17.05.2010","05","2010","17"
"079-58883","Ca","Kalsium","31.05.2010 00:00",NA,0.66,"mg/l","31.05.2010"," 31.05.2010","05","2010","31"
"079-58883","Ca","Kalsium","17.04.2017 00:00",NA,0.66,"mg/l","17.04.2017"," 17.04.2017","04","2017","17"
"079-58883","Ca","Kalsium","02.04.2018 00:00",NA,0.66,"mg/l","02.04.2018"," 02.04.2018","04","2018","02"
"079-58883","Ca","Kalsium","22.02.2021 00:00",NA,0.66,"mg/l","22.02.2021"," 22.02.2021","02","2021","22"
"079-58883","Natrium","Natrium","02.08.2021 00:00",NA,0.66,"mg/l","02.08.2021"," 02.08.2021","08","2021","02"
"079-58883","Ca","Kalsium","12.12.2016 00:00",NA,0.67,"mg/l","12.12.2016"," 12.12.2016","12","2016","12"
"079-58883","Ca","Kalsium","04.04.2016 00:00",NA,0.67,"mg/l","04.04.2016"," 04.04.2016","04","2016","04"
"079-58883","Ca","Kalsium","15.02.2010 00:00",NA,0.67,"mg/l","15.02.2010"," 15.02.2010","02","2010","15"
"079-58883","Ca","Kalsium","14.02.2021 00:00",NA,0.67,"mg/l","14.02.2021"," 14.02.2021","02","2021","14"
"079-58883","SO4","Sulfat","06.09.2021 00:00",NA,0.67,"mg/l","06.09.2021"," 06.09.2021","09","2021","06"
"079-58883","Ca","Kalsium","24.05.2010 00:00",NA,0.68,"mg/l","24.05.2010"," 24.05.2010","05","2010","24"
"079-58883","Ca","Kalsium","29.11.2020 00:00",NA,0.68,"mg/l","29.11.2020"," 29.11.2020","11","2020","29"
"079-58883","Ca","Kalsium","15.12.2020 00:00",NA,0.68,"mg/l","15.12.2020"," 15.12.2020","12","2020","15"
"079-58883","Natrium","Natrium","06.09.2021 00:00",NA,0.68,"mg/l","06.09.2021"," 06.09.2021","09","2021","06"
"079-58883","Natrium","Natrium","05.02.2022 00:00",NA,0.68,"mg/l","05.02.2022"," 05.02.2022","02","2022","05"
"079-58883","Ca","Kalsium","05.08.2013 00:00",NA,0.68,"mg/l","05.08.2013"," 05.08.2013","08","2013","05"
"079-58883","Ca","Kalsium","03.09.2012 00:00",NA,0.69,"mg/l","03.09.2012"," 03.09.2012","09","2012","03"
"079-58883","Ca","Kalsium","22.02.2010 00:00",NA,0.69,"mg/l","22.02.2010"," 22.02.2010","02","2010","22"
"079-58883","Ca","Kalsium","06.08.2018 00:00",NA,0.69,"mg/l","06.08.2018"," 06.08.2018","08","2018","06"
"079-58883","TOC","Totalt organisk karbon (TOC)","31.01.2021 00:00",NA,0.69,"mg/l C","31.01.2021"," 31.01.2021","01","2021","31"
"079-58883","Natrium",NA,NA,"04.10.2022",0.69,"mg/L",NA,"04.10.2022 ","10","2022","04"
"079-58883","Ca","Kalsium","21.07.2008 00:00",NA,0.7,"mg/l","21.07.2008"," 21.07.2008","07","2008","21"
"079-58883","Ca","Kalsium","04.08.2008 00:00",NA,0.7,"mg/l","04.08.2008"," 04.08.2008","08","2008","04"
"079-58883","Ca","Kalsium","01.03.2010 00:00",NA,0.7,"mg/l","01.03.2010"," 01.03.2010","03","2010","01"
"079-58883","Ca","Kalsium","22.04.2019 00:00",NA,0.7,"mg/l","22.04.2019"," 22.04.2019","04","2019","22"
"079-58883","Ca","Kalsium","01.07.2019 00:00",NA,0.7,"mg/l","01.07.2019"," 01.07.2019","07","2019","01"
"079-58883","Ca","Kalsium","25.04.2021 00:00",NA,0.7,"mg/l","25.04.2021"," 25.04.2021","04","2021","25"
"079-58883","Ca",NA,NA,"10.05.2022",0.7,"mg/L",NA,"10.05.2022 ","05","2022","10"
"079-58883","Natrium",NA,NA,"06.12.2022",0.7,"mg/L",NA,"06.12.2022 ","12","2022","06"
"079-58883","Ca","Kalsium","23.08.2010 00:00",NA,0.71,"mg/l","23.08.2010"," 23.08.2010","08","2010","23"
"079-58883","TOC","Totalt organisk karbon (TOC)","24.05.2021 00:00",NA,0.71,"mg/l C","24.05.2021"," 24.05.2021","05","2021","24"
"079-58883","Ca",NA,NA,"22.02.2022",0.71,"mg/L",NA,"22.02.2022 ","02","2022","22"
"079-58883","TOC",NA,NA,"06.05.2022",0.71,"mg/L",NA,"06.05.2022 ","05","2022","06"
"079-58883","Ca","Kalsium","04.03.2019 00:00",NA,0.72,"mg/l","04.03.2019"," 04.03.2019","03","2019","04"
"079-58883","Ca","Kalsium","18.03.2019 00:00",NA,0.72,"mg/l","18.03.2019"," 18.03.2019","03","2019","18"
"079-58883","Ca","Kalsium","16.05.2016 00:00",NA,0.72,"mg/l","16.05.2016"," 16.05.2016","05","2016","16"
"079-58883","TOC","Totalt organisk karbon (TOC)","25.04.2021 00:00",NA,0.72,"mg/l C","25.04.2021"," 25.04.2021","04","2021","25"
"079-58883","Cl",NA,NA,"06.12.2022",0.72,"mg/L",NA,"06.12.2022 ","12","2022","06"
"079-58883","Ca","Kalsium","30.05.2011 00:00",NA,0.73,"mg/l","30.05.2011"," 30.05.2011","05","2011","30"
"079-58883","Ca","Kalsium","22.02.2016 00:00",NA,0.73,"mg/l","22.02.2016"," 22.02.2016","02","2016","22"
"079-58883","Ca","Kalsium","30.05.2011 00:00",NA,0.73,"mg/l","30.05.2011"," 30.05.2011","05","2011","30"
"079-58883","Ca","Kalsium","11.05.2020 00:00",NA,0.73,"mg/l","11.05.2020"," 11.05.2020","05","2020","11"
"079-58883","Ca","Kalsium","14.03.2021 00:00",NA,0.73,"mg/l","14.03.2021"," 14.03.2021","03","2021","14"
"079-58883","TOC","Totalt organisk karbon (TOC)","06.06.2021 00:00",NA,0.73,"mg/l C","06.06.2021"," 06.06.2021","06","2021","06"
"079-58883","Ca","Kalsium","30.09.2013 00:00",NA,0.73,"mg/l","30.09.2013"," 30.09.2013","09","2013","30"
"079-58883","Ca","Kalsium","29.02.2016 00:00",NA,0.74,"mg/l","29.02.2016"," 29.02.2016","02","2016","29"
"079-58883","Ca","Kalsium","11.05.2009 00:00",NA,0.74,"mg/l","11.05.2009"," 11.05.2009","05","2009","11"
"079-58883","SO4","Sulfat","31.10.2021 00:00",NA,0.74,"mg/l","31.10.2021"," 31.10.2021","10","2021","31"
"079-58883","Natrium",NA,NA,"13.09.2022",0.74,"mg/L",NA,"13.09.2022 ","09","2022","13"
"079-58883","Ca","Kalsium","28.11.2011 00:00",NA,0.74,"mg/l","28.11.2011"," 28.11.2011","11","2011","28"
"079-58883","Ca","Kalsium","01.02.2010 00:00",NA,0.75,"mg/l","01.02.2010"," 01.02.2010","02","2010","01"
"079-58883","SO4","Sulfat","06.06.2021 00:00",NA,0.75,"mg/l","06.06.2021"," 06.06.2021","06","2021","06"
"079-58883","SO4",NA,NA,"04.10.2022",0.75,"mg/L",NA,"04.10.2022 ","10","2022","04"
"079-58883","Ca","Kalsium","09.04.2018 00:00",NA,0.76,"mg/l","09.04.2018"," 09.04.2018","04","2018","09"
"079-58883","Ca","Kalsium","01.11.2020 00:00",NA,0.76,"mg/l","01.11.2020"," 01.11.2020","11","2020","01"
"079-58883","Ca","Kalsium","19.08.2013 00:00",NA,0.77,"mg/l","19.08.2013"," 19.08.2013","08","2013","19"
"079-58883","Ca","Kalsium","07.09.2011 00:00",NA,0.77,"mg/l","07.09.2011"," 07.09.2011","09","2011","07"
"079-58883","Ca","Kalsium","30.01.2017 00:00",NA,0.77,"mg/l","30.01.2017"," 30.01.2017","01","2017","30"
"079-58883","Ca","Kalsium","03.10.2021 00:00",NA,0.77,"mg/l","03.10.2021"," 03.10.2021","10","2021","03"
"079-58883","Natrium","Natrium","31.10.2021 00:00",NA,0.77,"mg/l","31.10.2021"," 31.10.2021","10","2021","31"
"079-58883","SO4",NA,NA,"02.08.2022",0.77,"mg/L",NA,"02.08.2022 ","08","2022","02"
"079-58883","Ca","Kalsium","01.11.2015 00:00",NA,0.78,"mg/l","01.11.2015"," 01.11.2015","11","2015","01"
"079-58883","Ca","Kalsium","27.10.2008 00:00",NA,0.78,"mg/l","27.10.2008"," 27.10.2008","10","2008","27"
"079-58883","Ca","Kalsium","02.05.2011 00:00",NA,0.78,"mg/l","02.05.2011"," 02.05.2011","05","2011","02"
"079-58883","Ca","Kalsium","16.05.2011 00:00",NA,0.78,"mg/l","16.05.2011"," 16.05.2011","05","2011","16"
"079-58883","Ca","Kalsium","02.05.2011 00:00",NA,0.78,"mg/l","02.05.2011"," 02.05.2011","05","2011","02"
"079-58883","Ca","Kalsium","16.05.2011 00:00",NA,0.78,"mg/l","16.05.2011"," 16.05.2011","05","2011","16"
"079-58883","Ca","Kalsium","08.03.2021 00:00",NA,0.78,"mg/l","08.03.2021"," 08.03.2021","03","2021","08"
"079-58883","Cl","Klorid","06.09.2021 00:00",NA,0.78,"mg/l","06.09.2021"," 06.09.2021","09","2021","06"
"079-58883","SO4",NA,NA,"13.09.2022",0.78,"mg/L",NA,"13.09.2022 ","09","2022","13"
"079-58883","Natrium",NA,NA,"02.08.2022",0.78,"mg/L",NA,"02.08.2022 ","08","2022","02"
"079-58883","Ca","Kalsium","08.03.2010 00:00",NA,0.79,"mg/l","08.03.2010"," 08.03.2010","03","2010","08"
"079-58883","Ca","Kalsium","04.05.2020 00:00",NA,0.79,"mg/l","04.05.2020"," 04.05.2020","05","2020","04"
"079-58883","Ca","Kalsium","09.05.2021 00:00",NA,0.79,"mg/l","09.05.2021"," 09.05.2021","05","2021","09"
"079-58883","Natrium","Natrium","05.07.2021 00:00",NA,0.79,"mg/l","05.07.2021"," 05.07.2021","07","2021","05"
"079-58883","TOC","Totalt organisk karbon (TOC)","17.05.2021 00:00",NA,0.79,"mg/l C","17.05.2021"," 17.05.2021","05","2021","17"
"079-58883","SO4",NA,NA,"05.07.2022",0.79,"mg/L",NA,"05.07.2022 ","07","2022","05"
"079-58883","TOC",NA,NA,"24.05.2022",0.79,"mg/L",NA,"24.05.2022 ","05","2022","24"
"079-58883","Ca","Kalsium","06.06.2012 00:00",NA,0.8,"mg/l","06.06.2012"," 06.06.2012","06","2012","06"
"079-58883","Ca","Kalsium","06.01.2009 00:00",NA,0.8,"mg/l","06.01.2009"," 06.01.2009","01","2009","06"
"079-58883","Ca","Kalsium","03.12.2018 00:00",NA,0.8,"mg/l","03.12.2018"," 03.12.2018","12","2018","03"
"079-58883","TOC","Totalt organisk karbon (TOC)","06.07.2020 00:00",NA,0.8,"mg/l C","06.07.2020"," 06.07.2020","07","2020","06"
"079-58883","TOC",NA,NA,"04.10.2022",0.8,"mg/L",NA,"04.10.2022 ","10","2022","04"
"079-58883","Ca","Kalsium","08.11.2011 00:00",NA,0.8,"mg/l","08.11.2011"," 08.11.2011","11","2011","08"
"079-58883","TOC","Totalt organisk karbon (TOC)","15.12.2020 00:00",NA,0.81,"mg/l C","15.12.2020"," 15.12.2020","12","2020","15"
"079-58883","TOC",NA,NA,"05.04.2022",0.81,"mg/L",NA,"05.04.2022 ","04","2022","05"
"079-58883","Ca","Kalsium","24.11.2008 00:00",NA,0.82,"mg/l","24.11.2008"," 24.11.2008","11","2008","24"
"079-58883","Ca","Kalsium","25.05.2020 00:00",NA,0.82,"mg/l","25.05.2020"," 25.05.2020","05","2020","25"
"079-58883","Ca","Kalsium","02.05.2021 00:00",NA,0.82,"mg/l","02.05.2021"," 02.05.2021","05","2021","02"
"079-58883","Ca","Kalsium","13.10.2008 00:00",NA,0.83,"mg/l","13.10.2008"," 13.10.2008","10","2008","13"
"079-58883","Ca","Kalsium","10.05.2010 00:00",NA,0.83,"mg/l","10.05.2010"," 10.05.2010","05","2010","10"
"079-58883","Ca","Kalsium","10.04.2017 00:00",NA,0.83,"mg/l","10.04.2017"," 10.04.2017","04","2017","10"
"079-58883","Ca","Kalsium","08.04.2019 00:00",NA,0.83,"mg/l","08.04.2019"," 08.04.2019","04","2019","08"
"079-58883","Ca","Kalsium","23.03.2020 00:00",NA,0.83,"mg/l","23.03.2020"," 23.03.2020","03","2020","23"
"079-58883","Ca","Kalsium","18.05.2020 00:00",NA,0.83,"mg/l","18.05.2020"," 18.05.2020","05","2020","18"
"079-58883","Natrium","Natrium","06.06.2021 00:00",NA,0.83,"mg/l","06.06.2021"," 06.06.2021","06","2021","06"
"079-58883","Ca","Kalsium","06.11.2017 00:00",NA,0.84,"mg/l","06.11.2017"," 06.11.2017","11","2017","06"
"079-58883","Ca","Kalsium","04.11.2019 00:00",NA,0.84,"mg/l","04.11.2019"," 04.11.2019","11","2019","04"
"079-58883","Ca","Kalsium","11.04.2021 00:00",NA,0.84,"mg/l","11.04.2021"," 11.04.2021","04","2021","11"
"079-58883","Cl",NA,NA,"04.10.2022",0.84,"mg/L",NA,"04.10.2022 ","10","2022","04"
"079-58883","Ca","Kalsium","12.04.2010 00:00",NA,0.86,"mg/l","12.04.2010"," 12.04.2010","04","2010","12"
"079-58883","Ca","Kalsium","24.04.2017 00:00",NA,0.86,"mg/l","24.04.2017"," 24.04.2017","04","2017","24"
"079-58883","Ca","Kalsium","30.03.2009 00:00",NA,0.87,"mg/l","30.03.2009"," 30.03.2009","03","2009","30"
"079-58883","Ca","Kalsium","27.03.2017 00:00",NA,0.87,"mg/l","27.03.2017"," 27.03.2017","03","2017","27"
"079-58883","Ca","Kalsium","02.03.2020 00:00",NA,0.87,"mg/l","02.03.2020"," 02.03.2020","03","2020","02"
"079-58883","Ca","Kalsium","14.01.2019 00:00",NA,0.88,"mg/l","14.01.2019"," 14.01.2019","01","2019","14"
"079-58883","Ca",NA,NA,"06.05.2022",0.88,"mg/L",NA,"06.05.2022 ","05","2022","06"
"079-58883","Ca","Kalsium","05.12.2016 00:00",NA,0.89,"mg/l","05.12.2016"," 05.12.2016","12","2016","05"
"079-58883","Ca","Kalsium","20.04.2009 00:00",NA,0.89,"mg/l","20.04.2009"," 20.04.2009","04","2009","20"
"079-58883","SO4",NA,NA,"05.08.2022",0.89,"mg/L",NA,"05.08.2022 ","08","2022","05"
"079-58883","Ca","Kalsium","04.10.2010 00:00",NA,0.9,"mg/l","04.10.2010"," 04.10.2010","10","2010","04"
"079-58883","Ca","Kalsium","09.05.2016 00:00",NA,0.9,"mg/l","09.05.2016"," 09.05.2016","05","2016","09"
"079-58883","TOC","Totalt organisk karbon (TOC)","11.05.2020 00:00",NA,0.9,"mg/l C","11.05.2020"," 11.05.2020","05","2020","11"
"079-58883","Natrium",NA,NA,"05.08.2022",0.9,"mg/L",NA,"05.08.2022 ","08","2022","05"
"079-58883","Ca","Kalsium","23.03.2009 00:00",NA,0.91,"mg/l","23.03.2009"," 23.03.2009","03","2009","23"
"079-58883","Ca","Kalsium","02.05.2016 00:00",NA,0.91,"mg/l","02.05.2016"," 02.05.2016","05","2016","02"
"079-58883","TOC","Totalt organisk karbon (TOC)","09.05.2021 00:00",NA,0.91,"mg/l C","09.05.2021"," 09.05.2021","05","2021","09"
"079-58883","Cl",NA,NA,"13.09.2022",0.91,"mg/L",NA,"13.09.2022 ","09","2022","13"
"079-58883","Ca","Kalsium","15.02.2016 00:00",NA,0.92,"mg/l","15.02.2016"," 15.02.2016","02","2016","15"
"079-58883","Ca","Kalsium","10.11.2008 00:00",NA,0.92,"mg/l","10.11.2008"," 10.11.2008","11","2008","10"
"079-58883","Ca","Kalsium","26.05.2011 00:00",NA,0.92,"mg/l","26.05.2011"," 26.05.2011","05","2011","26"
"079-58883","Ca","Kalsium","26.05.2011 00:00",NA,0.92,"mg/l","26.05.2011"," 26.05.2011","05","2011","26"
"079-58883","Ca","Kalsium","16.01.2012 00:00",NA,0.92,"mg/l","16.01.2012"," 16.01.2012","01","2012","16"
"079-58883","Ca","Kalsium","14.03.2016 00:00",NA,0.93,"mg/l","14.03.2016"," 14.03.2016","03","2016","14"
"079-58883","Ca",NA,NA,"09.03.2022",0.93,"mg/L",NA,"09.03.2022 ","03","2022","09"
"079-58883","Ca","Kalsium","15.11.2015 00:00",NA,0.94,"mg/l","15.11.2015"," 15.11.2015","11","2015","15"
"079-58883","Ca","Kalsium","19.10.2009 00:00",NA,0.94,"mg/l","19.10.2009"," 19.10.2009","10","2009","19"
"079-58883","Ca","Kalsium","05.04.2010 00:00",NA,0.94,"mg/l","05.04.2010"," 05.04.2010","04","2010","05"
"079-58883","Ca","Kalsium","19.03.2012 00:00",NA,0.94,"mg/l","19.03.2012"," 19.03.2012","03","2012","19"
"079-58883","Cl","Klorid","05.02.2022 00:00",NA,0.95,"mg/l","05.02.2022"," 05.02.2022","02","2022","05"
"079-58883","Ca","Kalsium","29.09.2008 00:00",NA,0.96,"mg/l","29.09.2008"," 29.09.2008","09","2008","29"
"079-58883","Ca","Kalsium","13.12.2010 00:00",NA,0.96,"mg/l","13.12.2010"," 13.12.2010","12","2010","13"
"079-58883","Ca","Kalsium","15.03.2010 00:00",NA,0.97,"mg/l","15.03.2010"," 15.03.2010","03","2010","15"
"079-58883","Ca","Kalsium","27.12.2010 00:00",NA,0.97,"mg/l","27.12.2010"," 27.12.2010","12","2010","27"
"079-58883","Ca","Kalsium","04.12.2017 00:00",NA,0.98,"mg/l","04.12.2017"," 04.12.2017","12","2017","04"
"079-58883","Ca","Kalsium","20.09.2010 00:00",NA,0.98,"mg/l","20.09.2010"," 20.09.2010","09","2010","20"
"079-58883","Ca","Kalsium","18.10.2010 00:00",NA,0.98,"mg/l","18.10.2010"," 18.10.2010","10","2010","18"
"079-58883","Ca","Kalsium","29.11.2010 00:00",NA,0.98,"mg/l","29.11.2010"," 29.11.2010","11","2010","29"
"079-58883","Ca","Kalsium","18.04.2011 00:00",NA,0.98,"mg/l","18.04.2011"," 18.04.2011","04","2011","18"
"079-58883","Ca","Kalsium","03.04.2017 00:00",NA,0.98,"mg/l","03.04.2017"," 03.04.2017","04","2017","03"
"079-58883","Ca","Kalsium","18.04.2011 00:00",NA,0.98,"mg/l","18.04.2011"," 18.04.2011","04","2011","18"
"079-58883","Natrium","Natrium","03.10.2021 00:00",NA,0.98,"mg/l","03.10.2021"," 03.10.2021","10","2021","03"
"079-58883","TOC",NA,NA,"20.04.2022",0.98,"mg/L",NA,"20.04.2022 ","04","2022","20"
"079-58883","Ca","Kalsium","16.01.2017 00:00",NA,0.99,"mg/l","16.01.2017"," 16.01.2017","01","2017","16"
"079-58883","Ca","Kalsium","10.02.2020 00:00",NA,0.99,"mg/l","10.02.2020"," 10.02.2020","02","2020","10"
"079-58883","Ca","Kalsium","29.03.2021 00:00",NA,0.99,"mg/l","29.03.2021"," 29.03.2021","03","2021","29"
"079-58883","Cl","Klorid","02.08.2021 00:00",NA,0.99,"mg/l","02.08.2021"," 02.08.2021","08","2021","02"
"079-58883","Ca",NA,NA,"05.04.2022",0.99,"mg/L",NA,"05.04.2022 ","04","2022","05"
"079-58883","Ca",NA,NA,"16.03.2022",1,"mg/L",NA,"16.03.2022 ","03","2022","16"
"079-58883","Ca",NA,NA,"12.04.2022",1,"mg/L",NA,"12.04.2022 ","04","2022","12"
"079-58883","Natrium",NA,NA,"05.07.2022",1,"mg/L",NA,"05.07.2022 ","07","2022","05"
"079-58883","Natrium",NA,NA,"01.11.2022",1,"mg/L",NA,"01.11.2022 ","11","2022","01"
"079-58883","TOC",NA,NA,"08.06.2022",1,"mg/L",NA,"08.06.2022 ","06","2022","08"
"079-58883","TOC",NA,NA,"05.07.2022",1,"mg/L",NA,"05.07.2022 ","07","2022","05"
"079-58883","Ca","Kalsium","11.04.2016 00:00",NA,1.01,"mg/l","11.04.2016"," 11.04.2016","04","2016","11"
"079-58883","SO4",NA,NA,"08.06.2022",1.01,"mg/L",NA,"08.06.2022 ","06","2022","08"
"079-58883","Ca","Kalsium","08.12.2008 00:00",NA,1.05,"mg/l","08.12.2008"," 08.12.2008","12","2008","08"
"079-58883","Ca","Kalsium","29.03.2010 00:00",NA,1.05,"mg/l","29.03.2010"," 29.03.2010","03","2010","29"
"079-58883","SO4",NA,NA,"01.11.2022",1.07,"mg/L",NA,"01.11.2022 ","11","2022","01"
"079-58883","Ca","Kalsium","16.04.2018 00:00",NA,1.09,"mg/l","16.04.2018"," 16.04.2018","04","2018","16"
"079-58883","Ca","Kalsium","01.11.2010 00:00",NA,1.1,"mg/l","01.11.2010"," 01.11.2010","11","2010","01"
"079-58883","Ca","Kalsium","15.11.2010 00:00",NA,1.1,"mg/l","15.11.2010"," 15.11.2010","11","2010","15"
"079-58883","Ca","Kalsium","05.04.2021 00:00",NA,1.1,"mg/l","05.04.2021"," 05.04.2021","04","2021","05"
"079-58883","Ca","Kalsium","01.03.2021 00:00",NA,1.1,"mg/l","01.03.2021"," 01.03.2021","03","2021","01"
"079-58883","Cl","Klorid","05.07.2021 00:00",NA,1.1,"mg/l","05.07.2021"," 05.07.2021","07","2021","05"
"079-58883","Natrium","Natrium","02.05.2021 00:00",NA,1.1,"mg/l","02.05.2021"," 02.05.2021","05","2021","02"
"079-58883","TOC","Totalt organisk karbon (TOC)","20.04.2020 00:00",NA,1.1,"mg/l C","20.04.2020"," 20.04.2020","04","2020","20"
"079-58883","TOC","Totalt organisk karbon (TOC)","06.01.2020 00:00",NA,1.1,"mg/l C","06.01.2020"," 06.01.2020","01","2020","06"
"079-58883","TOC","Totalt organisk karbon (TOC)","13.09.2020 00:00",NA,1.1,"mg/l C","13.09.2020"," 13.09.2020","09","2020","13"
"079-58883","TOC","Totalt organisk karbon (TOC)","31.10.2021 00:00",NA,1.1,"mg/l C","31.10.2021"," 31.10.2021","10","2021","31"
"079-58883","TOC","Totalt organisk karbon (TOC)","05.07.2021 00:00",NA,1.1,"mg/l C","05.07.2021"," 05.07.2021","07","2021","05"
"079-58883","Ca",NA,NA,"14.01.2022",1.1,"mg/L",NA,"14.01.2022 ","01","2022","14"
"079-58883","Ca",NA,NA,"18.01.2022",1.1,"mg/L",NA,"18.01.2022 ","01","2022","18"
"079-58883","Ca",NA,NA,"27.04.2022",1.1,"mg/L",NA,"27.04.2022 ","04","2022","27"
"079-58883","TOC",NA,NA,"01.02.2022",1.1,"mg/L",NA,"01.02.2022 ","02","2022","01"
"079-58883","TOC",NA,NA,"01.11.2022",1.1,"mg/L",NA,"01.11.2022 ","11","2022","01"
"079-58883","Ca","Kalsium","23.05.2011 00:00",NA,1.11,"mg/l","23.05.2011"," 23.05.2011","05","2011","23"
"079-58883","Ca","Kalsium","23.05.2011 00:00",NA,1.11,"mg/l","23.05.2011"," 23.05.2011","05","2011","23"
"079-58883","Ca","Kalsium","13.04.2020 00:00",NA,1.12,"mg/l","13.04.2020"," 13.04.2020","04","2020","13"
"079-58883","Ca","Kalsium","14.02.2012 00:00",NA,1.13,"mg/l","14.02.2012"," 14.02.2012","02","2012","14"
"079-58883","Ca","Kalsium","25.04.2016 00:00",NA,1.13,"mg/l","25.04.2016"," 25.04.2016","04","2016","25"
"079-58883","SO4","Sulfat","02.05.2021 00:00",NA,1.13,"mg/l","02.05.2021"," 02.05.2021","05","2021","02"
"079-58883","Ca","Kalsium","18.02.2019 00:00",NA,1.15,"mg/l","18.02.2019"," 18.02.2019","02","2019","18"
"079-58883","Ca","Kalsium","03.02.2020 00:00",NA,1.15,"mg/l","03.02.2020"," 03.02.2020","02","2020","03"
"079-58883","Ca","Kalsium","16.03.2020 00:00",NA,1.15,"mg/l","16.03.2020"," 16.03.2020","03","2020","16"
"079-58883","Ca","Kalsium","19.04.2010 00:00",NA,1.16,"mg/l","19.04.2010"," 19.04.2010","04","2010","19"
"079-58883","Ca","Kalsium","09.12.2019 00:00",NA,1.18,"mg/l","09.12.2019"," 09.12.2019","12","2019","09"
"079-58883","Ca","Kalsium","26.04.2010 00:00",NA,1.2,"mg/l","26.04.2010"," 26.04.2010","04","2010","26"
"079-58883","Ca","Kalsium","19.12.2021 00:00",NA,1.2,"mg/l","19.12.2021"," 19.12.2021","12","2021","19"
"079-58883","Natrium","Natrium","22.09.2021 00:00",NA,1.2,"mg/l","22.09.2021"," 22.09.2021","09","2021","22"
"079-58883","TOC","Totalt organisk karbon (TOC)","03.08.2020 00:00",NA,1.2,"mg/l C","03.08.2020"," 03.08.2020","08","2020","03"
"079-58883","TOC","Totalt organisk karbon (TOC)","04.05.2020 00:00",NA,1.2,"mg/l C","04.05.2020"," 04.05.2020","05","2020","04"
"079-58883","TOC","Totalt organisk karbon (TOC)","18.04.2021 00:00",NA,1.2,"mg/l C","18.04.2021"," 18.04.2021","04","2021","18"
"079-58883","Cl",NA,NA,"02.08.2022",1.2,"mg/L",NA,"02.08.2022 ","08","2022","02"
"079-58883","Cl",NA,NA,"05.08.2022",1.2,"mg/L",NA,"05.08.2022 ","08","2022","05"
"079-58883","Ca",NA,NA,"04.01.2022",1.2,"mg/L",NA,"04.01.2022 ","01","2022","04"
"079-58883","Ca",NA,NA,"01.03.2022",1.2,"mg/L",NA,"01.03.2022 ","03","2022","01"
"079-58883","TOC",NA,NA,"20.05.2022",1.2,"mg/L",NA,"20.05.2022 ","05","2022","20"
"079-58883","Ca","Kalsium","05.04.2009 00:00",NA,1.22,"mg/l","05.04.2009"," 05.04.2009","04","2009","05"
"079-58883","Ca","Kalsium","20.11.2017 00:00",NA,1.23,"mg/l","20.11.2017"," 20.11.2017","11","2017","20"
"079-58883","SO4",NA,NA,"06.05.2022",1.23,"mg/L",NA,"06.05.2022 ","05","2022","06"
"079-58883","Ca","Kalsium","26.03.2018 00:00",NA,1.24,"mg/l","26.03.2018"," 26.03.2018","03","2018","26"
