Vannlokalitet_kode	Vannlokalitet	Betegnelse	Type	Aktivitet_id	Aktivitet_navn	Oppdragsgiver	Oppdragstaker	Parameter_id	Parameter_navn	Parameter_Casnr	Medium_id	Medium_navn	LatinskNavn_id	VitenskapligNavn	Provetakmetode_id	Analysemetode_id	Tid_provetak	Tid_provetak2	Ovre_dyp	Nedre_dyp	DybdeEnhet	Filtrert_Prove	UnntasKlassifisering	Operator	Verdi	Listenavn	Enhet	Provenr	Deteksjonsgrense	Kvantifiseringsgrense	Opprinnelse	Ant_verdier	Kommentar	Arkiv	UTM33 Ost (X)	UTM33 Nord (Y)
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	TEMP	Temperatur		VF	Ferskvann	0	Artsuavhengig	UKJENT	UKJENT	2010-12-27 00:00:00				m	Ufiltrert		=	0.20		øC	10_6322_  6				1	Ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	TEMP	Temperatur		VF	Ferskvann	0	Artsuavhengig	UKJENT	UKJENT	2010-03-15 00:00:00				m	Ufiltrert		=	0.20		øC	10_1152_  6				1	Ved Dale	N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	TEMP	Temperatur		VF	Ferskvann	0	Artsuavhengig	UKJENT	UKJENT	2009-02-02 00:00:00				m	Ufiltrert		=	0.20		øC	09_ 571_  3				1	Ved utl?p	N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	TEMP	Temperatur		VF	Ferskvann	0	Artsuavhengig	UKJENT	UKJENT	2010-11-29 00:00:00				m	Ufiltrert		=	0.20		øC	10_5941_  3				1	Ved utl?p	N	21577.8	6819750.7
079-58879	Hovedelv v. kraftstasjon							Ca										22.12.2022							0.20		mg/L									
079-58881	Siplo. sideelv							Mg										02.08.2022							0.20		mg/L									
079-28413	Dalelva i H?yanger. utl?p		Elv	ANNE	Annet	Vassomr†de Ytre Sogn	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2018-11-29 00:00:00				m	Ufiltrert		=	0.21		mg/l	18_A470_  1	0.025	0.05		1	Daleelva i H?yanger. utl?	N	21564.9501	6819751.69
079-58882	Daleelva ved Dale		Elv	ANNE	Annet	Vassomr†de Ytre Sogn	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2017-09-18 00:00:00				m	Ufiltrert		=	0.21		mg/l	17_7212_  3	0.025	0.05		1	Daleelva ved Dale	N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2017-09-04 00:00:00				m	Ufiltrert		=	0.21		mg/l	17_6984_  2	0.025	0.05		1	Ved utl?p	N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2016-05-26 00:00:00		0	0	m	Ufiltrert		=	0.21		æg/l					1		N	21577.8	6819750.7
079-28413	Dalelva i H?yanger. utl?p		Elv	KALL	Lokal overv†king av kalka vassdrag	Fylkesmannen i Sogn og Fjordane	UKJENT	K	Kalium	7440-09-7	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-4A	UKJENT	1995-10-09 00:00:00				m	Ufiltrert		=	0.21		mg/l					1	Fra Vanninfo. v/ ?renbrua	N	21564.9501	6819751.69
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	K	Kalium	7440-09-7	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-07-05 00:00:00		0	0	m	Ufiltrert		=	0.21		mg/l	439-2021-07060047				1		N	21577.8	6819750.7
079-28413	Dalelva i H?yanger. utl?p		Elv	KALL	Lokal overv†king av kalka vassdrag	Fylkesmannen i Sogn og Fjordane	UKJENT	Mg	Magnesium	7439-95-4	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-4A	UKJENT	1995-10-09 00:00:00				m	Ufiltrert		=	0.21		mg/l					1	Fra Vanninfo. v/ ?renbrua	N	21564.9501	6819751.69
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	Mg	Magnesium	7439-95-4	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-10-03 00:00:00		0	0	m	Ufiltrert		=	0.21		mg/l	439-2021-10050090				1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	Mg	Magnesium	7439-95-4	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-09-22 00:00:00		0	0	m	Ufiltrert		=	0.21		mg/l	439-2021-09240079				1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	PB	Bly	7439-92-1	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2018-04-10 00:00:00		0	0	m	Ufiltrert		=	0.21		æg/l					1		N	23022.8	6820695.9
079-58883	Ved utl?p							Mg										08.06.2022							0.21		mg/L									
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2016-10-17 00:00:00				m	Ufiltrert		=	0.22		mg/l	16_7149_  3	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2020-06-22 00:00:00				m	Ufiltrert		=	0.22		mg/l	20_6045_  6	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CU	Kobber	7440-50-8	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2016-11-25 00:00:00		0	0	m	Ufiltrert		=	0.22		æg/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	Mg	Magnesium	7439-95-4	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-09-22 00:00:00		0	0	m	Ufiltrert		=	0.22		mg/l	439-2021-09240078				1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	Mg	Magnesium	7439-95-4	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-10-31 00:00:00		0	0	m	Ufiltrert		=	0.22		mg/l	439-2021-11020109				1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	Mg	Magnesium	7439-95-4	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-04-05 00:00:00		0	0	m	Ufiltrert		=	0.22		mg/l	439-2021-04070232				1		N	21577.8	6819750.7
079-58880	Kraftverk K2							Ca										22.12.2022							0.22		mg/L									
079-58879	Hovedelv v. kraftstasjon							K										06.05.2022							0.22		mg/L									
079-58880	Kraftverk K2							K										06.05.2022							0.22		mg/L									
079-58882	Ved Dale							K										02.08.2022							0.22		mg/L									
079-58883	Ved utl?p							Mg										05.04.2022							0.22		mg/L									
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2016-09-19 00:00:00				m	Ufiltrert		=	0.23		mg/l	16_6345_  4	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	ANNE	Annet	Vassomr†de Ytre Sogn	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2018-06-14 00:00:00				m	Ufiltrert		=	0.23		mg/l	18_5022_  1	0.025	0.05		1	Daleelva ved Dale	N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2017-08-28 00:00:00				m	Ufiltrert		=	0.23		mg/l	17_6676_  5	0.025	0.05		1	Ved utl?p	N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2018-05-28 00:00:00				m	Ufiltrert		=	0.23		mg/l	18_4360_  1	0.025	0.05		1	Ved utl?p	N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	Mg	Magnesium	7439-95-4	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-04-05 00:00:00		0	0	m	Ufiltrert		=	0.23		mg/l	439-2021-04070230				1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	PB	Bly	7439-92-1	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2022-11-09 00:00:00		0	0	m	Ufiltrert		=	0.23		æg/l					1		N	23022.8	6820695.9
079-58880	Kraftverk K2							Ca										20.07.2022							0.23		mg/L									
079-58880	Kraftverk K2							Ca										20.09.2022							0.23		mg/L									
079-58880	Kraftverk K2							Ca										04.10.2022							0.23		mg/L									
079-58878	Gautingsdalelva							K										08.06.2022							0.23		mg/L									
079-58882	Ved Dale							K										13.09.2022							0.23		mg/L									
079-58883	Ved utl?p							K										01.11.2022							0.23		mg/L									
079-58882	Ved Dale							Mg										05.04.2022							0.23		mg/L									
079-58882	Ved Dale							Mg										08.06.2022							0.23		mg/L									
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2018-08-27 00:00:00				m	Ufiltrert		=	0.24		mg/l	18_7333_  3	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-39566	Dalelva ved Fundo - botndyr		Elv	ANNE	Annet	FMSF	HISF	K	Kalium	7440-09-7	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6A	UKJENT	2007-06-22 00:00:00				m	Ufiltrert		=	0.24		mg/l					1	H?gskulen i Sogn og Fjordane - kartlegging av botnfauna i elver	N	22498.4192	6820440.148
079-39566	Dalelva ved Fundo - botndyr		Elv	ANNE	Annet	FMSF	HISF	Mg	Magnesium	7439-95-4	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6A	UKJENT	2007-06-22 00:00:00				m	Ufiltrert		=	0.24		mg/l					1	H?gskulen i Sogn og Fjordane - kartlegging av botnfauna i elver	N	22498.4192	6820440.148
079-28413	Dalelva i H?yanger. utl?p		Elv	ANNE	Annet	Fylkesmannen i Sogn og Fjordane	Eurofins AS	TURB	Turbiditet		VF	Ferskvann	0	Artsuavhengig	UKJENT	UKJENT	2007-08-15 00:00:00				m	Ufiltrert		=	0.24		FNU					1		N	21564.9501	6819751.69
079-58879	Hovedelv v. kraftstasjon							Ca										04.10.2022							0.24		mg/L									
079-58880	Kraftverk K2							Ca										16.08.2022							0.24		mg/L									
079-58880	Kraftverk K2							Ca										01.11.2022							0.24		mg/L									
079-58882	Ved Dale							K										05.07.2022							0.24		mg/L									
079-58879	Hovedelv v. kraftstasjon							Mg										08.06.2022							0.24		mg/L									
079-58880	Kraftverk K2							Mg										08.06.2022							0.24		mg/L									
079-58882	Ved Dale							Mg										05.08.2022							0.24		mg/L									
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2016-10-17 00:00:00				m	Ufiltrert		=	0.25		mg/l	16_7149_  6	0.025	0.05		1	Ved utl?p	N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CU	Kobber	7440-50-8	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2022-04-26 00:00:00		0	0	m	Ufiltrert		=	0.25		æg/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CU	Kobber	7440-50-8	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2020-10-12 00:00:00		0	0	m	Ufiltrert		=	0.25		æg/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	K	Kalium	7440-09-7	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-05-02 00:00:00		0	0	m	Ufiltrert		=	0.25		mg/l	439-2021-05040209				1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	K	Kalium	7440-09-7	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-05-02 00:00:00		0	0	m	Ufiltrert		=	0.25		mg/l	439-2021-05040208				1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	PB	Bly	7439-92-1	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2015-02-12 00:00:00		0	0	m	Ufiltrert		=	0.25		æg/l					1		N	23022.8	6820695.9
079-58879	Hovedelv v. kraftstasjon							Mg										06.05.2022							0.25		mg/L									
079-58881	Siplo. sideelv							Mg										01.11.2022							0.25		mg/L									
079-28413	Dalelva i H?yanger. utl?p		Elv	ANNE	Annet	Vassomr†de Ytre Sogn	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2017-09-18 00:00:00				m	Ufiltrert		=	0.26		mg/l	17_7212_  4	0.025	0.05		1	Daleelva i H?yanger. utl?	N	21564.9501	6819751.69
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2018-03-05 00:00:00				m	Ufiltrert		=	0.26		mg/l	18_1841_  6	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2009-10-19 00:00:00				m	Ufiltrert		=	0.26		mg/l	09_5826_  6	0.025	0.05		1	Ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	NIVA	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6A	NS-EN ISO 11885:2009	2015-10-18 00:00:00				m	Ufiltrert		=	0.26		mg/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2020-07-06 00:00:00				m	Ufiltrert		=	0.26		mg/l	20_6590_  4	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2017-10-02 00:00:00				m	Ufiltrert		=	0.26		mg/l	17_7689_  3	0.025	0.05		1	Ved utl?p	N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CU	Kobber	7440-50-8	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2017-03-07 00:00:00		0	0	m	Ufiltrert		=	0.26		æg/l					1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CU	Kobber	7440-50-8	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2015-05-08 00:00:00		0	0	m	Ufiltrert		=	0.26		æg/l					1		N	21577.8	6819750.7
079-28413	Dalelva i H?yanger. utl?p		Elv	KALL	Lokal overv†king av kalka vassdrag	Fylkesmannen i Sogn og Fjordane	UKJENT	Mg	Magnesium	7439-95-4	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-4A	UKJENT	1993-10-26 00:00:00				m	Ufiltrert		=	0.26		mg/l					1	Fra Vanninfo. v/ H†land	N	21564.9501	6819751.69
079-28413	Dalelva i H?yanger. utl?p		Elv	KALL	Lokal overv†king av kalka vassdrag	Fylkesmannen i Sogn og Fjordane	UKJENT	TURB	Turbiditet		VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-4A	UKJENT	1995-04-06 00:00:00				m	Ufiltrert		=	0.26		FNU					1	Fra Vanninfo. 	N	21564.9501	6819751.69
079-58879	Hovedelv v. kraftstasjon							Ca										20.07.2022							0.26		mg/L									
079-58879	Hovedelv v. kraftstasjon							Ca										16.08.2022							0.26		mg/L									
079-58879	Hovedelv v. kraftstasjon							Ca										13.09.2022							0.26		mg/L									
079-58880	Kraftverk K2							Ca										02.08.2022							0.26		mg/L									
079-58880	Kraftverk K2							Ca										06.12.2022							0.26		mg/L									
079-58880	Kraftverk K2							K										08.06.2022							0.26		mg/L									
079-58880	Kraftverk K2							Mg										06.05.2022							0.26		mg/L									
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2022-02-05 00:00:00		0	0	m	Ufiltrert		=	0.27		mg/l	439-2021-12070088				1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2018-09-10 00:00:00				m	Ufiltrert		=	0.27		mg/l	18_7856_  5	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2017-07-31 00:00:00				m	Ufiltrert		=	0.27		mg/l	17_5864_  2	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2009-02-16 00:00:00				m	Ufiltrert		=	0.27		mg/l	09_ 883_  6	0.025	0.05		1	Ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2020-08-10 00:00:00				m	Ufiltrert		=	0.27		mg/l	20_7511_  6	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-01-31 00:00:00		0	0	m	Ufiltrert		=	0.27		mg/l	439-2021-02020049				1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2016-09-19 00:00:00				m	Ufiltrert		=	0.27		mg/l	16_6345_  1	0.025	0.05		1	Ved utl?p	N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2016-01-18 00:00:00				m	Ufiltrert		=	0.27		mg/l	16_ 291_  6	0.025	0.05		1	Ved utl?p	N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	K	Kalium	7440-09-7	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 17294-2:2016	2021-10-03 00:00:00		0	0	m	Ufiltrert		=	0.27		mg/l	439-2021-10050093				1		N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	PB	Bly	7439-92-1	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2018-04-10 00:00:00		0	0	m	Ufiltrert		=	0.27		æg/l					1		N	21577.8	6819750.7
079-28413	Dalelva i H?yanger. utl?p		Elv	ANNE	Annet	Fylkesmannen i Sogn og Fjordane - Milj?vernavdelingen	FMVASF	TURB	Turbiditet		VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7027 K6	2004-08-25 00:00:00		0	0	m	Ufiltrert		=	0.27		FNU					1	#Konvertering_info Prosjekt: Vassdragsovervaking i Sogn og Fjordane	N	21564.9501	6819751.69
079-58879	Hovedelv v. kraftstasjon							Ca										20.09.2022							0.27		mg/L									
079-58879	Hovedelv v. kraftstasjon							Ca										06.12.2022							0.27		mg/L									
079-58880	Kraftverk K2							Ca										18.01.2022							0.27		mg/L									
079-58880	Kraftverk K2							Ca										13.09.2022							0.27		mg/L									
079-58882	Ved Dale							Ca										04.10.2022							0.27		mg/L									
079-58882	Ved Dale							Ca										22.12.2022							0.27		mg/L									
079-58879	Hovedelv v. kraftstasjon							K										08.06.2022							0.27		mg/L									
079-58881	Siplo. sideelv							K										02.08.2022							0.27		mg/L									
079-58883	Ved utl?p							K										08.06.2022							0.27		mg/L									
079-58878	Gautingsdalelva							Mg										01.11.2022							0.27		mg/L									
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2019-12-02 00:00:00				m	Ufiltrert		=	0.28		mg/l	19_B853_  4	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2017-08-14 00:00:00				m	Ufiltrert		=	0.28		mg/l	17_6317_  4	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2016-01-18 00:00:00				m	Ufiltrert		=	0.28		mg/l	16_ 291_  3	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2016-06-27 00:00:00				m	Ufiltrert		=	0.28		mg/l	16_4289_  6	0.025	0.05		1	H?yanger. ved Dale	N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv†king i kalkede laksevassdrag	Milj?direktoratet	VestfoldLAB AS	Ca	Kalsium	7440-70-2	VF	Ferskvann	0	Artsuavhengig	UKJENT	NS-EN ISO 7980	2018-08-27 00:00:00				m	Ufiltrert		=	0.28		mg/l	18_7333_  5	0.025	0.05		1	Ved utl?p	N	21577.8	6819750.7
