"Vannlokalitet_kode","N.NO3","TOC","Ca","Mg","Cl","Natrium","SO4","K"
"079-58878",200.945833333333,1.45116666666667,2.1335,0.24525,1.807,1.45025,4.5685,0.359916666666667
"079-58879",46.1071428571429,0.766214285714286,0.44325,0.135957142857143,1.38071428571429,0.855392857142857,0.729821428571429,0.168571428571429
"079-58880",36.2071428571429,0.648,0.353571428571429,0.127335714285714,1.20628571428571,0.788785714285714,0.5815,0.158
"079-58881",221.268571428571,2.39607142857143,1.538,0.281535714285714,2.73178571428571,1.89428571428571,1.93782142857143,0.368928571428571
"079-58882",116.542857142857,0.737821428571429,0.6975,0.164335714285714,1.40685714285714,0.966785714285714,1.18160714285714,0.229678571428571
"079-58883",80.5821428571429,1.05642857142857,0.5785,0.152092857142857,1.44314285714286,0.985714285714286,0.940642857142857,0.212107142857143
