"Vannlokalitet_kode","N.NO3","TOC","Ca","Mg","Cl","Natrium","SO4","K"
"079-58878",209.691666666667,1.39183333333333,2.29716666666667,0.262,1.81616666666667,1.49033333333333,5.0255,0.371166666666667
"079-58879",44.3166666666667,0.741833333333333,0.4165,0.1334,1.326,0.840333333333333,0.705333333333333,0.1645
"079-58880",34.3833333333333,0.638333333333333,0.337333333333333,0.1265,1.20566666666667,0.789666666666667,0.572833333333333,0.156166666666667
"079-58881",235.331666666667,2.39266666666667,1.5465,0.287833333333333,2.76,1.89333333333333,1.99233333333333,0.371833333333333
"079-58882",109.166666666667,0.734166666666667,0.653666666666667,0.1603,1.38366666666667,0.951666666666667,1.14533333333333,0.222166666666667
"079-58883",76.1166666666667,1.0605,0.551833333333333,0.149566666666667,1.41433333333333,0.970666666666667,0.9195,0.209
